pmid,id,arm_num,difficulty,feedback,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,orig__golden,abstract,pmid,title
1683365,1824297976,two,5,,n/a,,continuous positive airway pressure (CPAP) therapy,Not Sure,n/a,,n/a,n/a,,continuous positive airway pressure (CPAP) therapy,Not Sure,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 years,TRUE,,,continuous positive airway pressure (CPAP) therapy,TRUE,Not Sure,TRUE,,,80,TRUE,,,,"Although continuous positive airway pressure (CPAP) therapy using a face mask is known to improve oxygenation, the intrapulmonary shunt reduction remains unsettled. Our study was designed to explore this issue. From 1985 to 1987 80 patients with acute cardiogenic pulmonary edema were randomly chosen to receive either serial CPAP therapy or high-flow face mask oxygen therapy without CPAP (control) for the purpose of evaluating the efficacy of CPAP therapy. After screening for exclusion, only 55 patients were included in the first 3-hour investigation period. PaO2 in the CPAP group showed a significant increase by the end of the initial study; whereas intrapulmonary shunt and alveolar-arterial oxygen tension gradient AaDO2 revealed simultaneously a significant reduction. Conversely, neither PaO2 nor intrapulmonary shunt (or AaDO2) in the control group demonstrated any significant beneficial changes. As for cardiovascular function, only the CPAP therapy achieved a significant reduction in rate pressure product in contrast to the control (face mask) therapy alone. In terms of therapeutic failure, 10 patients in the control group failed. However, in the CPAP group only 5 patients had failed at the end of the first 3-hour study period. Overall, the cumulative therapeutic failure rate was 28% in the CPAP group and 60% in the control group during a 6-hour observation study. However, there was no significant difference between the two groups in 24-hour hospital mortality.(ABSTRACT TRUNCATED AT 250 WORDS)",1683365,The efficacy of early continuous positive airway pressure therapy in patients with acute cardiogenic pulmonary edema.
1683365,1825389861,two,,,,,serial CPAP,Medical Devices,,,,,,high-flow face mask oxygen therapy without CPAP (control),Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study period 3 hrs,TRUE,n/a,TRUE,,,Medical Devices,TRUE,face mask,TRUE,55,TRUE,not stated,TRUE,,"Although continuous positive airway pressure (CPAP) therapy using a face mask is known to improve oxygenation, the intrapulmonary shunt reduction remains unsettled. Our study was designed to explore this issue. From 1985 to 1987 80 patients with acute cardiogenic pulmonary edema were randomly chosen to receive either serial CPAP therapy or high-flow face mask oxygen therapy without CPAP (control) for the purpose of evaluating the efficacy of CPAP therapy. After screening for exclusion, only 55 patients were included in the first 3-hour investigation period. PaO2 in the CPAP group showed a significant increase by the end of the initial study; whereas intrapulmonary shunt and alveolar-arterial oxygen tension gradient AaDO2 revealed simultaneously a significant reduction. Conversely, neither PaO2 nor intrapulmonary shunt (or AaDO2) in the control group demonstrated any significant beneficial changes. As for cardiovascular function, only the CPAP therapy achieved a significant reduction in rate pressure product in contrast to the control (face mask) therapy alone. In terms of therapeutic failure, 10 patients in the control group failed. However, in the CPAP group only 5 patients had failed at the end of the first 3-hour study period. Overall, the cumulative therapeutic failure rate was 28% in the CPAP group and 60% in the control group during a 6-hour observation study. However, there was no significant difference between the two groups in 24-hour hospital mortality.(ABSTRACT TRUNCATED AT 250 WORDS)",1683365,The efficacy of early continuous positive airway pressure therapy in patients with acute cardiogenic pulmonary edema.
1853859,1824175844,two,4,,,,intervention,Behavioral,,39,,,,control,Behavioral,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 week,TRUE,na,TRUE,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol in hypercholesterolemic free-living men.,TRUE,Behavioral,TRUE,na,TRUE,,,na,TRUE,,"To study the impact of dietary intervention on the plasma total and high density lipoprotein cholesterol (HDL cholesterol) levels in hypercholesterolemic men, the authors selected 80 male participants in a monitoring risk factor project carried out in Amsterdam, The Netherlands. These men had plasma total cholesterol levels of between 6.5 and 10.0 mmol/liter (between 251 and 387 mg/dl) and were randomly assigned to either the intervention (n = 39) or the control (n = 41) group. At the start of the intervention period, after 5 weeks, and after 26 weeks, both the intervention and the control groups were examined. This examination consisted of a measurement of height, weight, plasma total and HDL cholesterol, and a dietary interview. The intervention program consisted of a personalized dietary advice to the respondent, based on the report of the Netherlands Nutrition Council. The study took place between September 1987 and November 1988. Because of this intervention program, the plasma total and HDL cholesterol levels decreased. The difference in change in plasma total cholesterol between the intervention and control groups was 0.47 mmol/liter (18 mg/dl) after 5 weeks and 0.30 mmol/liter (12 mg/dl) after 26 weeks. For HDL cholesterol, a significant difference in change after 5 weeks disappeared after 26 weeks. The public health implications of the decrease in plasma total cholesterol are discussed.",1853859,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol in hypercholesterolemic free-living men.
1853859,1824359569,two,5,,n/a,,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol,Not Sure,,,n/a,n/a,,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol,Not Sure,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year,TRUE,,,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol,TRUE,Not Sure,TRUE,oral,TRUE,80,TRUE,,,,"To study the impact of dietary intervention on the plasma total and high density lipoprotein cholesterol (HDL cholesterol) levels in hypercholesterolemic men, the authors selected 80 male participants in a monitoring risk factor project carried out in Amsterdam, The Netherlands. These men had plasma total cholesterol levels of between 6.5 and 10.0 mmol/liter (between 251 and 387 mg/dl) and were randomly assigned to either the intervention (n = 39) or the control (n = 41) group. At the start of the intervention period, after 5 weeks, and after 26 weeks, both the intervention and the control groups were examined. This examination consisted of a measurement of height, weight, plasma total and HDL cholesterol, and a dietary interview. The intervention program consisted of a personalized dietary advice to the respondent, based on the report of the Netherlands Nutrition Council. The study took place between September 1987 and November 1988. Because of this intervention program, the plasma total and HDL cholesterol levels decreased. The difference in change in plasma total cholesterol between the intervention and control groups was 0.47 mmol/liter (18 mg/dl) after 5 weeks and 0.30 mmol/liter (12 mg/dl) after 26 weeks. For HDL cholesterol, a significant difference in change after 5 weeks disappeared after 26 weeks. The public health implications of the decrease in plasma total cholesterol are discussed.",1853859,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol in hypercholesterolemic free-living men.
1853859,1829153963,two,,,,,dietary intervention,Educational,,39,,,,no  dietary intervention,Educational,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 weeks,TRUE,NA,TRUE,,,Educational,TRUE,NA,TRUE,,,NA,TRUE,,"To study the impact of dietary intervention on the plasma total and high density lipoprotein cholesterol (HDL cholesterol) levels in hypercholesterolemic men, the authors selected 80 male participants in a monitoring risk factor project carried out in Amsterdam, The Netherlands. These men had plasma total cholesterol levels of between 6.5 and 10.0 mmol/liter (between 251 and 387 mg/dl) and were randomly assigned to either the intervention (n = 39) or the control (n = 41) group. At the start of the intervention period, after 5 weeks, and after 26 weeks, both the intervention and the control groups were examined. This examination consisted of a measurement of height, weight, plasma total and HDL cholesterol, and a dietary interview. The intervention program consisted of a personalized dietary advice to the respondent, based on the report of the Netherlands Nutrition Council. The study took place between September 1987 and November 1988. Because of this intervention program, the plasma total and HDL cholesterol levels decreased. The difference in change in plasma total cholesterol between the intervention and control groups was 0.47 mmol/liter (18 mg/dl) after 5 weeks and 0.30 mmol/liter (12 mg/dl) after 26 weeks. For HDL cholesterol, a significant difference in change after 5 weeks disappeared after 26 weeks. The public health implications of the decrease in plasma total cholesterol are discussed.",1853859,The impact of the Guidelines for a Healthy Diet of The Netherlands Nutrition Council on total and high density lipoprotein cholesterol in hypercholesterolemic free-living men.
2049963,1824150744,two,4,,"vancomycin 450 mg/day, tobramycin 450 mg/day and colistin 4.5.10(6) units daily",,goupI,Pharmacological,,22,,400 mg/day and amoxicillin 20 g/day;,,group II,Pharmacological,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 days,TRUE,,,Prophylaxis of bacterial infections after bone marrow transplantation. A randomized prospective study comparing oral broad-spectrum nonabsorbable antibiotics (vancomycin-tobramycin-colistin) to absorbable antibiotics (ofloxacin-amoxicillin).,TRUE,Pharmacological,TRUE,NA,TRUE,,,daily,TRUE,,"Bacterial infection is a common complication after allogeneic bone marrow transplantation. It is related to the toxic effects of the conditioning regimen on mucosal surfaces, to bone marrow aplasia and to the prolonged lymphopenia with immune deficiency that lasts for several weeks after bone marrow transplantation. We have performed a prospective randomized study comparing two methods of prophylaxis. Group I (OA) received a combination of ofloxacin 400 mg/day and amoxicillin 20 g/day; group II (VTC) received the oral nonabsorbable antibiotics vancomycin 450 mg/day, tobramycin 450 mg/day and colistin 4.5.10(6) units daily, from day -15 to 15 days after discharge from laminar air flow (LAF) rooms. All patients were nursed in LAF rooms with a strict isolation procedure and sterile water and food. They were evaluated daily for clinical symptoms, and bacterial culture samples were taken from the throat, stools and blood twice weekly. Forty-four patients were randomized, 22 entered in group I (OA) and 22 in group II (VTC). There were no differences between the two groups in age (mean 33 years, range 11-54), sex, diagnosis and mean duration of agranulocytosis (21.8 days, range 10-49). Seven patients were excluded because of the selection of a resistant bacteria, 5 were in group I (OA), and 2 were in group II (VTC). The mean duration of fever was 9.2 +/- 7.1 days in group I (OA) and 13.7 +/- 6.8 days in group II (VTC; p = 0.05). There were no significant differences between the two groups in graft-versus-host disease.(ABSTRACT TRUNCATED AT 250 WORDS)",2049963,Prophylaxis of bacterial infections after bone marrow transplantation. A randomized prospective study comparing oral broad-spectrum nonabsorbable antibiotics (vancomycin-tobramycin-colistin) to absorbable antibiotics (ofloxacin-amoxicillin).
2049963,1824297964,two,5,,,,Title Prophylaxis of bacterial infections after bone marrow transplantation,Not Sure,,,,,,Title Prophylaxis of bacterial infections after bone marrow transplantation,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 days,TRUE,400 mg,TRUE,Title Prophylaxis of bacterial infections after bone marrow transplantation,TRUE,Not Sure,TRUE,oral,TRUE,44,TRUE,daily,TRUE,,"Bacterial infection is a common complication after allogeneic bone marrow transplantation. It is related to the toxic effects of the conditioning regimen on mucosal surfaces, to bone marrow aplasia and to the prolonged lymphopenia with immune deficiency that lasts for several weeks after bone marrow transplantation. We have performed a prospective randomized study comparing two methods of prophylaxis. Group I (OA) received a combination of ofloxacin 400 mg/day and amoxicillin 20 g/day; group II (VTC) received the oral nonabsorbable antibiotics vancomycin 450 mg/day, tobramycin 450 mg/day and colistin 4.5.10(6) units daily, from day -15 to 15 days after discharge from laminar air flow (LAF) rooms. All patients were nursed in LAF rooms with a strict isolation procedure and sterile water and food. They were evaluated daily for clinical symptoms, and bacterial culture samples were taken from the throat, stools and blood twice weekly. Forty-four patients were randomized, 22 entered in group I (OA) and 22 in group II (VTC). There were no differences between the two groups in age (mean 33 years, range 11-54), sex, diagnosis and mean duration of agranulocytosis (21.8 days, range 10-49). Seven patients were excluded because of the selection of a resistant bacteria, 5 were in group I (OA), and 2 were in group II (VTC). The mean duration of fever was 9.2 +/- 7.1 days in group I (OA) and 13.7 +/- 6.8 days in group II (VTC; p = 0.05). There were no significant differences between the two groups in graft-versus-host disease.(ABSTRACT TRUNCATED AT 250 WORDS)",2049963,Prophylaxis of bacterial infections after bone marrow transplantation. A randomized prospective study comparing oral broad-spectrum nonabsorbable antibiotics (vancomycin-tobramycin-colistin) to absorbable antibiotics (ofloxacin-amoxicillin).
2049963,1825389852,two,,,ofloxacin 400 mg and amoxicillin 20 g,,absorbable antibiotics  (OA),Pharmacological,not stated,,,vancomycin 450 mg and tobramycin 450 mg and colistin 4.5.10(6) units,,oral nonabsorbable antibiotics  (VTC),Pharmacological,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 days,TRUE,,,,,,,,,"44 entered, but some excluded due to resistant bacteria",TRUE,daily,TRUE,,"Bacterial infection is a common complication after allogeneic bone marrow transplantation. It is related to the toxic effects of the conditioning regimen on mucosal surfaces, to bone marrow aplasia and to the prolonged lymphopenia with immune deficiency that lasts for several weeks after bone marrow transplantation. We have performed a prospective randomized study comparing two methods of prophylaxis. Group I (OA) received a combination of ofloxacin 400 mg/day and amoxicillin 20 g/day; group II (VTC) received the oral nonabsorbable antibiotics vancomycin 450 mg/day, tobramycin 450 mg/day and colistin 4.5.10(6) units daily, from day -15 to 15 days after discharge from laminar air flow (LAF) rooms. All patients were nursed in LAF rooms with a strict isolation procedure and sterile water and food. They were evaluated daily for clinical symptoms, and bacterial culture samples were taken from the throat, stools and blood twice weekly. Forty-four patients were randomized, 22 entered in group I (OA) and 22 in group II (VTC). There were no differences between the two groups in age (mean 33 years, range 11-54), sex, diagnosis and mean duration of agranulocytosis (21.8 days, range 10-49). Seven patients were excluded because of the selection of a resistant bacteria, 5 were in group I (OA), and 2 were in group II (VTC). The mean duration of fever was 9.2 +/- 7.1 days in group I (OA) and 13.7 +/- 6.8 days in group II (VTC; p = 0.05). There were no significant differences between the two groups in graft-versus-host disease.(ABSTRACT TRUNCATED AT 250 WORDS)",2049963,Prophylaxis of bacterial infections after bone marrow transplantation. A randomized prospective study comparing oral broad-spectrum nonabsorbable antibiotics (vancomycin-tobramycin-colistin) to absorbable antibiotics (ofloxacin-amoxicillin).
2144115,1824216627,two,4,,0.5 mg,,terbutaline 0.5 mg,Pharmacological,,10,,terbutaline 0.5 mg followed by ipratropium bromide 0.04,,terbutaline 0.5 mg followed by ipratropium bromide 0.04,Pharmacological,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,TRUE,,,Comparison of inhaled terbutaline and inhaled terbutaline plus ipratropium bromide in acute asthmatic children.,TRUE,Pharmacological,TRUE,inhaled,TRUE,,,na,TRUE,,"Twenty asthmatic children, aged 4 to 15 years, consisting of 14 boys and 6 girls, were studied during acute episodes of asthmatic attacks. A group of 10 children each received either inhaled terbutaline 0.5 mg or inhaled terbutaline 0.5 mg followed by ipratropium bromide 0.04 mg 15 minutes later through a 750-ml volumetric spacer. Significant increases in FEV1 over the baseline were observed from 2 minutes to 2 hours and from 2 minutes to 6 hours following the first and second regimen respectively. A slightly greater increase and longer duration in FEV1 were observed in the combined drug treatment and very slight decreases in systolic and diastolic blood pressure below the base-line were observed. Neither regimen showed any serious adverse effect on the heart rate and respiratory rate.",2144115,Comparison of inhaled terbutaline and inhaled terbutaline plus ipratropium bromide in acute asthmatic children.
2144115,1824447095,two,5,,,n/a,Comparison of inhaled terbutaline and inhaled terbutaline plus ipratropium bromide in acute asthmatic children.,Not Sure,n/a,,n/a,,n/a,Comparison of inhaled terbutaline and inhaled terbutaline plus ipratropium bromide in acute asthmatic children.,Not Sure,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 mg,TRUE,Comparison of inhaled terbutaline and inhaled terbutaline plus ipratropium bromide in acute asthmatic children.,TRUE,,,,,20,TRUE,,,,"Twenty asthmatic children, aged 4 to 15 years, consisting of 14 boys and 6 girls, were studied during acute episodes of asthmatic attacks. A group of 10 children each received either inhaled terbutaline 0.5 mg or inhaled terbutaline 0.5 mg followed by ipratropium bromide 0.04 mg 15 minutes later through a 750-ml volumetric spacer. Significant increases in FEV1 over the baseline were observed from 2 minutes to 2 hours and from 2 minutes to 6 hours following the first and second regimen respectively. A slightly greater increase and longer duration in FEV1 were observed in the combined drug treatment and very slight decreases in systolic and diastolic blood pressure below the base-line were observed. Neither regimen showed any serious adverse effect on the heart rate and respiratory rate.",2144115,Comparison of inhaled terbutaline and inhaled terbutaline plus ipratropium bromide in acute asthmatic children.
