pmid,abstract,arm_num_gold,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,title
2569600,"The value of hyperbaric oxygen in the treatment of acute carbon monoxide intoxication was assessed in 629 adults who had been poisoned at home in the 12 h before admission to hospital. In patients without initial impairment of consciousness (group A) the effect of 6 h of normobaric oxygen (NBO) (group A0, n = 170) was compared with that of 2 h of hyperbaric oxygen (HBO) at 2 atmospheres absolute (ATA) plus 4 h NBO (group A1, n = 173). At the 1 month follow-up 66% of A0 and 68% of A1 patients had recovered. In patients with initial impairment of consciousness the effect of one session of HBO (group B1, n = 145) was compared with that of two sessions (group B2, n = 141); all group B patients also received 4 h of NBO. At 1 month of follow-up 54% group B1 and 52% group B2 patients had recovered. The 7 patients left with neuropsychiatric sequelae (3 B1, 4 B2) and the 4 who died (2 B1, 2 B2) had all presented with coma. HBO was not useful in patients who did not lose consciousness during carbon monoxide intoxication, irrespective of their carboxyhaemoglobin level, nor were two sessions of HBO in patients who sustained only a brief loss of consciousness. The prognosis is poorest for those presenting with coma; the trial needs to be pursued in this group of patients until the power of the study is sufficient to demonstrate the value or otherwise of HBO.",four,,,,,,,Pharmacological,TRUE,,,,,,,6 h,,patients without initial impairment of consciousness receiving 6 h of normobaric oxygen (NBO) ,,,170,,4 h,,patients without initial impairment of consciousness receiving 2 h of hyperbaric oxygen (HBO) at 2 atmospheres absolute (ATA) plus 4 h NBO ,,,173,,4h,one session,patients with initial impairment of consciousness receiving one session 4 h of HBO,,,145,,4h,,patients with initial impairment of consciousness receiving two session 4 h of HBO,,,141,two session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619027,The incidence and severity of pain and nausea experienced by 40 primigravid day patients who presented for vaginal termination of pregnancy were examined. Controlled-release dihydrocodeine had no effect upon the incidence or severity of these minor sequelae. The requirements for escape analgesia and antiemetic therapy were less than anticipated and possible explanations are discussed. The low incidence of significant nausea and vomiting recorded in this study confirms that vaginal termination of pregnancy may be safely performed as day cases.,???,,,,,,,,,,,40,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699465,"Twenty-eight elderly inpatients suffering from major depressive episodes (diagnosed according to DSM III) received randomly, on a double-blind basis, amitriptyline (75 mg/die) or fluoxetine (20 mg/die) for five weeks. There were four drop-outs in the amitriptyline group and two drop-outs in the fluoxetine group. Both groups showed a significant amelioration at the end point for Hamilton Rating Scale of Depression scores compared to the baseline value. Anticholinergic side-effects were significantly more severe in the amitriptyline group. Weight gain was detected only in patients receiving amitriptyline.",two ,five weeks,TRUE,,,,,Pharmacological,TRUE,,,28,TRUE,daily,TRUE,75 mg,,amitriptyline,,,,,20 mg,,fluoxetine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974306,"Sixty patients with palmoplantar pustulosis were treated in a double-blind trial with either acitretin (etretin, Ro 10-1670) or with etretinate. The study consisted of 4 weeks of therapy with three 10 mg capsules/day followed by 8 weeks of therapy with a varying number of capsules given daily according to therapeutic response. At the end of the 12-week treatment period, the mean number of pustules (+/- SEM) had decreased from 57.8 (+/- 8.6) to 3.9 (+/- 1.6) in the acitretin group and from 57.1 (+/- 14.1) to 5.7 (+/- 2.7) in the etretinate group. With regard to influence on erythema, infiltration, scaling, and area involved, similar improvements were obtained in both treatment groups. Adverse reactions of the hypervitaminosis A type were observed with almost the same frequency and severity in both treatment groups. The mean number of 10 mg capsules used daily was comparable in the two groups: 2.82 (range 1.23-4.67) for acitretin and 2.77 (range 1.60-4.82) for etretinate. It can be concluded that acitretin and etretinate do not significantly differ with regard to efficacy and overall safety in the treatment of patients with palmoplantar pustulosis.",two,12 weeks,TRUE,10mg capsule,TRUE,,,Pharmacological,TRUE,,,60,TRUE,4 weeks of therapy with three 10 mg capsules/day followed by 8 weeks of therapy with a varying number of capsules given daily according to therapeutic response,TRUE,,,acitretin,,,,,,,etretinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051839,"Since transdermal scopolamine (TS) seems effective against seasickness, we compared its antiemetic effect with intravenous droperidol (DHBP), our routine antidote for postoperative emesis. Ninety-six female patients (ASA I-II) scheduled for short-stay surgery were randomly allocated to three study groups after giving their informed consent. The three groups were as follows: TS adhesive, delivering 140 micrograms initially and 5 micrograms/h thereafter + placebo 0.5 ml i.v. 5 min before the end of surgery; transdermal placebo adhesive preoperatively + DHBP 0.5 ml (1.25 mg) i.v. 5 min before the end of surgery; transdermal placebo + 0.5 ml placebo i.v. as indicated above. Oxycodone i.m. and glycopyrrolate i.v. were given for premedication together with the test adhesive. Anaesthesia was induced with thiopental and maintained with nitrous oxide and oxygen, enflurane, vecuronium and fentanyl. Neostigmine and glycopyrrolate were administered for reversal. In the recovery room no differences in nausea or vomiting were observed between the groups. Sedation was significantly more marked (P less than 0.15-0.0001) after DHBP than after either TS or the given DHBP and 6% of those given the placebo (P less than 0.05). During the following 24 h nausea was reported more by the placebo patients (25) than by those on TS (20) or DHBP (15) (P less than 0.05). However, actual vomiting on the ward did not differ between the groups. Visual disturbances were more frequent after TS (P less than 0.01). We conclude that prophylactic transdermal scopolamine does not diminish postoperative emetic sequelae.",three,,,,,Oxycodone i.m. and glycopyrrolate i.v.,TRUE,Pharmacological,TRUE,transdermal and intravenous ,TRUE,96,TRUE,5 min before the end of surgery,TRUE,"140 mg, 5 mg",,transdermal scopolamine (TS) adhesive: 140 micrograms initially and 5 micrograms/h thereafter + placebo 0.5 ml i.v.,,,,,0.5 ml (1.25 mg),,transdermal placebo adhesive preoperatively + DHBP 0.5 ml (1.25 mg) i.v.,,,,,0.5 ml,,transdermal placebo + 0.5 ml placebo i.v. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281603,"The efficacy and safety of cyclosporin A (CyA) for patients with rheumatoid arthritis were assessed in a four month double blind, placebo controlled study using an initial dosage of 5 mg/kg daily. Six patients withdrew from the study (two in the placebo group because of inefficacy of treatment and four in the CyA group because of side effects). These six patients were considered therapeutic failures. At the end of the trial the study treatment was considered as good or very good by 14 out of the 26 CyA group patients and by only two out of the 26 placebo group patients. Moreover, in the CyA group significant improvement was observed in five of the seven clinical assessment criteria. Clinical improvement was correlated with a decrease in C reactive protein, alpha 1 glycoprotein levels, and platelet count but not with erythrocyte sedimentation rate or rheumatoid factor titres. Renal toxicity (13 cases) remained the major problem in the management of these patients. This study shows that CyA is effective in active rheumatoid arthritis but requires close monitoring for toxicity.",two,4 months,TRUE,5 mg,TRUE,,,Pharmacological,TRUE,,,,,per kg daily,TRUE,,,cyclosporin A (CyA),,,26,,,,placebo,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3353893,"Recruitment of inflammatory leucocytes to the airways may play a part in the pathogenesis of asthma. As dietary enrichment with fish oil lipids can suppress leucocyte function, the effect of these lipids on asthma control and neutrophil function was studied in 20 subjects with mild asthma. Twelve subjects received capsules containing 3.2 g of eicosapentaenoic acid and 2.2 g of docosahexaenoic acid daily and eight subjects received placebo capsules containing olive oil for 10 weeks in a double blind fashion. Baseline specific airways conductance, airways responsiveness to histamine and exercise, diurnal peak expiratory flow, symptom scores, and bronchodilator use were measured. Neutrophil fatty acid composition was evaluated by gas chromatography, calcium ionophore induced neutrophil leukotriene (LT)B4 and LTB5 generation were measured by reverse phase high performance liquid chromatography and radioimmunoassay, and neutrophil chemotactic responses to formyl-methionyl-leucyl-phenylalanine (FMLP) and LTB4 were assessed by a microchemotaxis technique. Although the fish oil supplemented diet produced a greater than 10 fold increase in the eicosapentaenoic acid content of neutrophil phospholipids, there was no significant change in airways responsiveness to histamine or any change in any of the clinical measurements. After dietary supplementation with fish oil there was a 50% inhibition of total LTB (LTB4 + LTB5) generation by ionophore stimulated neutrophils and neutrophil chemotaxis was substantially suppressed. Neutrophil function remained unchanged in the placebo group. It is concluded that in subjects with mild asthma a fish oil enriched diet attenuates neutrophil function without changing the severity of asthma.",two,10 weeks,TRUE,,,,,Pharmacological,TRUE,,,,,daily,TRUE,"3.2 g, 2.2 g",,eicosapentaenoic acid and docosahexaenoic acid,,,12,,,,placebo capsules containing olive oil,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415422,"Issues regarding the side effects of antipsychotic medication and the possible contribution of the environment to dose requirements led to a two-year controlled dosage study of maintenance antipsychotic medication and familial environment among recently discharged schizophrenic patients. Seventy stable patients, living in high- or low-expressed emotion (EE) households, were randomized, double blind, to receive a standard dose of fluphenazine decanoate (average, 25 mg every two weeks) or a minimal dose representing 20% of the dose prescribed (average, 3.8 mg every two weeks). No differences in relapse were observed among dose, EE, or dose and EE. Patients in the minimal dose/high-EE condition experienced more minor but aborted episodes in year 2. Side effects were fewer on the minimal dose after one year, and low-EE patients were better adjusted than high-EE patients. Over time, minimal-dose recipients were significantly more improved in their instrumental and interpersonal role performance than were standard-dose recipients.",two,,,,,,,Pharmacological,TRUE,,,70,TRUE,every two weeks,TRUE,25 mg,,standard dose of fluphenazine decanoate,,,,,3.8 mg ,,a minimal dose representing 20% of the dose prescribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3790382,"A within patient double blind prospective study of symptoms and exercise tolerance was designed to determine the preferred pacing mode in 10 patients with programmable dual chamber pacemakers who also had angina pectoris. Patients were randomly allocated to one month in each of the following modes: ventricular pacing at 70 beats/min (VVI) or atrioventricular synchronous upper rate 150 beats/min (DDD 150) or 100 beats/min (DDD 100). Medications were unchanged throughout the study; none was taking beta blockers. At the end of each month patients underwent an exercise test. During each month patients recorded symptoms and their preferred pacing mode. DDD 100 was the preferred mode (seven patients). There was significantly less chest pain with this mode than with either of the other modes. There were significantly more episodes of dizziness in VVI, and two patients who developed pacemaker syndrome were unable to complete the pacing period. Three patients developed angina during exercise testing in DDD 150. Atrial synchronous ventricular pacing is better than ventricular pacing for the control of symptoms in patients with angina pectoris provided that the upper atrial tracking rate is limited.",three,one month,TRUE,,,,,Medical Devices,TRUE,,,10,TRUE,,,70 beats/min,,ventricular (VVI),,,,,150 beats/min,,atrioventricular synchronous upper rate 150 beats/min (DDD 150) ,,,,,100 beats/min,,atrioventricular synchronous upper rate 100 beats/min (DDD 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3810427,"To better define the serum osmolar and compositional changes associated with the infusion of a large volume of hypertonic saline solution (sodium of 250 milliequivalents per liter), we compared resuscitation using a hypertonic crystalloid (HSL) to Ringer's lactate (RL) in 52 patients undergoing aortic reconstruction. There were no differences between the groups in any of the preoperative measurements, the duration of operation, operative blood loss or transfusion requirement. The RL group required 9.5 liters of fluid intraoperatively as compared with 6.3 liters required by the HSL group (p less than 0.01). There was no significant difference between the groups in the amount of sodium infused to achieve resuscitation or in the sodium balance at the end of the study period. Hypernatremia (average maximum serum sodium: 157 milliequivalents per liter) and hyperosmolarity (average maximum serum osmolarity: 320 milliosmoles per liter) resolved in the HSL group within 48 hours. Correction of the hyperosmolar state was thought to be due to the judicious administration of free water and a decrease in renal free water clearance. The HSL group required significantly greater potassium administration during the early postoperative period due to increased kaluresis. HSL is safe and effective for use in the resuscitation of moderate blood volume deficit. Changes in serum sodium values and in osmolarity resolve rapidly. The serum potassium level should be monitored closely and replaced aggressively.",two,,,,,,,Pharmacological,TRUE,,,52,TRUE,,,,,hypertonic crystalloid (HSL),,,,,,,Ringer's lactate (RL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6359885,"From June, 1972, to December, 1976, 40 patients with FIGO (International Federation of Gynaecology and Obstetrics) Stage IIB carcinoma of the uterine cervix were entered into a prospective, double-blind, randomized study to evaluate the possible radiation-potentiating properties (i.e., improved survival) of the S-phase cell cycle-specific inhibitor of DNA synthesis, hydroxyurea. All patients were documented to be without aortic lymph node metastasis by pretherapy staging para-aortic lymphadenectomy. All 40 patients were followed up for longer than 5 years (5.2 to 9.2 years) or until death. The double-blind code was not broken until all patients had been followed up for a minimum of 2 to 5 years. Leukopenia (white blood cell count less than 2,500 mm3) was significantly increased in the patients given hydroxyurea as compared to those given placebo (P less than 0.0001). There was no statistically significant difference relative to anemia, thrombocytopenia, radiation-induced skin reaction, and radiation-induced intestinal reaction between the patients given placebo or those given hydroxyurea. Life-table survival for the patients given hydroxyurea was 94% as compared to 53% for the patients given placebo (P = 0.006). Only one (5%) patient given hydroxyurea died of cervical cancer. Of the other patients who died in the group given hydroxyurea, all were confirmed by postmortem examination to have been without recurrent cervical cancer. In contrast, 45% (nine) of the patients given placebo died of cervical cancer.",two,,,,,,,Pharmacological,TRUE,,,40,TRUE,,,,,hydroxyurea,,,,,,,placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6726466,"The effect of maternal pyridoxine X HCl (PN-HCl) supplementation on the vitamin B-6 status of pregnant women and their infants at birth and on pregnancy outcome was investigated. Volunteer subjects were randomly assigned a daily vitamin B-6 supplement containing 0, 2.6, 5, 7.5, 10, 15 or 20 mg of PN-HCl in a double-blind study. The mean dietary vitamin B-6 intake of the group was 1.43 +/- 1.28 mg/day as estimated from 24-hour dietary recalls. Maternal plasma pyridoxal 5'-phosphate (PLP) levels were positively correlated with vitamin B-6 supplementation at 30 weeks gestation (r = 0.55, P less than 0.0005) and at delivery (r = 0.54, P less than 0.01). Cord plasma PLP levels reached a maximum when maternal PN-HCl supplementation was 7.5 mg and greater. Supplemental PN-HCl at the 7.5-mg level was required to prevent a decrease in maternal plasma PLP at delivery. Apgar scores at 1 minute after birth were higher (P less than 0.05) for infants whose mothers took 7.5 mg or more supplemental PN-HCl than for infants of mothers who took 5 mg or less. These findings indicate that a vitamin B-6 intake between 5.5 and 7.6 mg/day (diet plus supplement as pyridoxine equivalents) was required to maintain maternal plasma PLP levels at term at a level comparable to initial values.",seven,,,,,,,Pharmacological,TRUE,,,,,,,0 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,2.6 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,5 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,7.5 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,10 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,15 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,20 mg,,a daily vitamin B-6 supplement containing maternal pyridoxine X HCl (PN-HCl) ,,,,,,,,,,,,,
